FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA30;1.0;117.64119386672974

model1;KNN 3;PCA50;1.0;126.20027709007263

model1;KNN 3;PCA70;1.0;132.38630366325378

model1;KNN 3;Percentage30;1.0;67.90782618522644
model2;KNN 3;Percentage30;0.975;69.04235363006592
model1;KNN 3;Percentage50;0.960784313725;67.53804326057434
model2;KNN 3;Percentage50;0.943396226415;72.46935892105103
model1;KNN 3;Percentage70;0.980769230769;70.66639304161072
model2;KNN 3;Percentage70;0.952380952381;69.44297385215759
model1;KNN 5;PCA30;1.0;113.57335638999939

model1;KNN 5;PCA50;1.0;122.57117056846619

model1;KNN 5;PCA70;1.0;131.67574882507324

model1;KNN 5;Percentage30;0.936170212766;81.56500935554504
model2;KNN 5;Percentage30;1.0;68.01759171485901
model1;KNN 5;Percentage50;1.0;81.71626424789429
model2;KNN 5;Percentage50;0.978723404255;66.9383430480957
model1;KNN 5;Percentage70;0.975;66.18110656738281
model2;KNN 5;Percentage70;1.0;51.64109516143799
model1;KNN 7;PCA30;1.0;97.82373666763306

model1;KNN 7;PCA50;1.0;108.39843916893005

model1;KNN 7;PCA70;1.0;139.09461092948914

model1;KNN 7;Percentage30;0.972972972973;57.224196434020996
model2;KNN 7;Percentage30;0.975;60.80282497406006
model1;KNN 7;Percentage50;1.0;55.87105131149292
model2;KNN 7;Percentage50;0.975;62.0875141620636
model1;KNN 7;Percentage70;0.974358974359;57.96467566490173
model2;KNN 7;Percentage70;1.0;66.74388551712036
model1;SVM;PCA30;1.0;114.92251539230347

model1;SVM;PCA50;1.0;128.4903585910797

model1;SVM;PCA70;1.0;137.34697794914246

model1;SVM;Percentage30;0.971428571429;69.99120116233826
model2;SVM;Percentage30;0.952380952381;63.692408323287964
model1;SVM;Percentage50;0.954545454545;71.14530873298645
model2;SVM;Percentage50;1.0;65.84652853012085
model1;SVM;Percentage70;0.936170212766;61.48418188095093
model2;SVM;Percentage70;0.95;71.92122220993042
model1;Multi Layer Perceptron;PCA30;1.0;104.53207731246948

model1;Multi Layer Perceptron;PCA50;1.0;127.55723428726196

model1;Multi Layer Perceptron;PCA70;1.0;129.1942663192749

model1;Multi Layer Perceptron;Percentage30;0.897959183673;69.05137920379639
model2;Multi Layer Perceptron;Percentage30;0.843137254902;56.504945039749146
model1;Multi Layer Perceptron;Percentage50;0.837209302326;76.45451092720032
model2;Multi Layer Perceptron;Percentage50;0.976744186047;50.57073402404785
model1;Multi Layer Perceptron;Percentage70;0.883720930233;68.02280807495117
model2;Multi Layer Perceptron;Percentage70;0.942307692308;53.558510303497314
