FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;PRECISION;RECALL;TIME
model2;SVM;ANOVA-70;0.965909090909;"[ 0.          0.          1.          0.88888889  1.          1.          1.
  1.        ]";"[ 0.          0.          1.          1.          0.85714286  0.9787234
  0.9         1.        ]";63.52369999885559
model1;Multi Layer Perceptron;PCA-30;0.842105263158;"[ 0.          0.          1.          0.          1.          0.91666667
  0.          1.        ]";[ 0.  0.  1.  0.  1.  1.  0.  1.];150.76441597938538
model2;Multi Layer Perceptron;PCA-30;0.857142857143;[ 0.   0.8  1.   0.5  1.   1.   1. ];[ 0.          1.          1.          1.          0.88888889  0.5         1.        ];87.22298169136047
model1;Multi Layer Perceptron;PCA-50;0.92;[ 0.33333333  1.          1.          0.          1.        ];[ 1.  1.  1.  0.  1.];199.9470546245575
model2;Multi Layer Perceptron;PCA-50;0.928571428571;[ 0.    1.    0.75  1.    1.    1.    1.  ];[ 0.   1.   1.   1.   1.   0.5  1. ];47.441603660583496
model1;Multi Layer Perceptron;PCA-70;0.894736842105;[ 0.  0.  1.  1.  0.  1.];[ 0.    0.    0.75  1.    0.    1.  ];144.7236053943634
model2;Multi Layer Perceptron;PCA-70;0.769230769231;[ 0.    0.    0.75  0.4   0.    0.    1.    1.    1.  ];[ 0.    0.    0.75  1.    0.    0.    1.    1.    1.  ];92.92376756668091
model1;Multi Layer Perceptron;ANOVA-30;0.89247311828;[ 0.  1.  1.  1.  0.  1.];[ 0.          1.          0.67857143  1.          0.          0.88888889];62.38298797607422
model2;Multi Layer Perceptron;ANOVA-30;0.9125;[ 0.          1.          1.          0.85714286  0.87755102  1.          1.        ];[ 0.          1.          0.14285714  1.          1.          1.          1.        ];62.766807317733765
model1;Multi Layer Perceptron;ANOVA-50;0.915662650602;[ 0.          1.          0.84615385  1.          0.          1.        ];[ 0.      1.      0.6875  1.      0.      1.    ];63.973299741744995
model2;Multi Layer Perceptron;ANOVA-50;0.8875;[ 0.          1.          0.          0.85714286  0.85416667  1.          1.        ];[ 0.          1.          0.          1.          0.97619048  1.          1.        ];65.25969862937927
model1;Multi Layer Perceptron;ANOVA-70;0.914893617021;[ 0.      0.      1.      0.9375  1.      0.      1.    ];"[ 0.          0.          1.          0.71428571  1.          0.
  0.88888889]";63.04696798324585
model2;Multi Layer Perceptron;ANOVA-70;0.956043956044;[ 0.          1.          1.          1.          0.94117647  1.          1.        ];[ 0.     1.     0.4    1.     1.     0.875  1.   ];65.8708815574646
