FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA-30;0.0;168.69547152519226
length;Linear Regression;PCA-30;130652.029935;171.2661166191101
prob1;Linear Regression;PCA-30;478628.338445;169.4700746536255
prob2;Linear Regression;PCA-30;614032.289253;173.89944791793823
num_aligns;Linear Regression;PCA-50;0.0;198.0832540988922
length;Linear Regression;PCA-50;25319.2467052;205.27381825447083
prob1;Linear Regression;PCA-50;365931.792103;187.09909296035767
prob2;Linear Regression;PCA-50;562550.276466;194.27852201461792
num_aligns;Linear Regression;PCA-70;0.0;204.84362626075745
length;Linear Regression;PCA-70;5.80498143556e+17;200.113272190094
prob1;Linear Regression;PCA-70;519204.403948;212.0118749141693
prob2;Linear Regression;PCA-70;595115.263121;181.13463926315308
prob1;Linear Regression;Percentage-30;13967.7246363;89.15280055999756
prob2;Linear Regression;Percentage-30;14321.6705596;87.59564852714539
prob1;Linear Regression;Percentage-50;9061.19695067;91.94076085090637
prob2;Linear Regression;Percentage-50;4530.50554459;105.18721747398376
prob1;Linear Regression;Percentage-70;11530.4880286;95.69008827209473
prob2;Linear Regression;Percentage-70;21891.7558806;92.25350594520569
num_aligns;KNR 3;PCA-30;0.0625;164.52500462532043
length;KNR 3;PCA-30;36908.0421456;174.1980700492859
prob1;KNR 3;PCA-30;276572.194975;166.45184326171875
prob2;KNR 3;PCA-30;351804.495002;160.46040415763855
num_aligns;KNR 3;PCA-50;0.0;185.771906375885
length;KNR 3;PCA-50;19299.9871795;209.2487063407898
prob1;KNR 3;PCA-50;141517.305119;199.8819580078125
prob2;KNR 3;PCA-50;211315.906508;205.05475068092346
num_aligns;KNR 3;PCA-70;0.0261437908497;174.8807611465454
length;KNR 3;PCA-70;7163.0;203.99747276306152
prob1;KNR 3;PCA-70;599830.294683;203.74825978279114
prob2;KNR 3;PCA-70;568921.329917;191.84221291542053
prob1;KNR 3;Percentage-30;26386.208202;89.57967829704285
prob2;KNR 3;Percentage-30;17542.5929952;96.07744431495667
prob1;KNR 3;Percentage-50;23605.6890879;94.24131321907043
prob2;KNR 3;Percentage-50;31809.2324105;96.38222146034241
prob1;KNR 3;Percentage-70;28868.1951325;93.89102864265442
prob2;KNR 3;Percentage-70;17022.1369661;97.08745765686035
num_aligns;KNR 5;PCA-30;0.0;173.11731791496277
length;KNR 5;PCA-30;39744.246;153.4135582447052
prob1;KNR 5;PCA-30;109475.294573;166.22058057785034
prob2;KNR 5;PCA-30;158188.41532;173.74570679664612
num_aligns;KNR 5;PCA-50;0.0;172.3300166130066
length;KNR 5;PCA-50;41838.8226667;179.1221363544464
prob1;KNR 5;PCA-50;184653.30248;202.49963092803955
prob2;KNR 5;PCA-50;289588.339821;208.68561959266663
num_aligns;KNR 5;PCA-70;0.0;193.39553928375244
length;KNR 5;PCA-70;8212.48352941;181.28036618232727
prob1;KNR 5;PCA-70;333731.843945;186.50633907318115
prob2;KNR 5;PCA-70;262185.487549;225.7039110660553
prob1;KNR 5;Percentage-30;25131.0342207;93.91744947433472
prob2;KNR 5;Percentage-30;14241.9376377;93.12820553779602
prob1;KNR 5;Percentage-50;26571.4275924;90.61406517028809
prob2;KNR 5;Percentage-50;18739.0587;94.25726699829102
prob1;KNR 5;Percentage-70;20725.6331215;87.96934390068054
prob2;KNR 5;Percentage-70;17003.6713563;92.70812964439392
num_aligns;KNR 7;PCA-30;0.0;158.5399022102356
length;KNR 7;PCA-30;20911.6003401;159.89170360565186
prob1;KNR 7;PCA-30;436293.432142;186.2720217704773
