FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA-30;0.0804597701149;166.092378616333
length;Linear Regression;PCA-30;6494.29513495;155.30412936210632
prob1;Linear Regression;PCA-30;2.72310645436e-15;162.46363019943237
num_aligns;Linear Regression;PCA-50;0.0571428571429;189.76008319854736
length;Linear Regression;PCA-50;13877.3463515;187.1358780860901
prob1;Linear Regression;PCA-50;7.69573563188e-16;162.3361656665802
num_aligns;Linear Regression;PCA-70;0.0649350649351;178.5196886062622
length;Linear Regression;PCA-70;14753.6581135;183.5729751586914
prob1;Linear Regression;PCA-70;4.31711998861e-15;196.62401223182678
prob1;Linear Regression;Percentage-30;5352.17064855;86.79077386856079
prob2;Linear Regression;Percentage-30;15380.1911287;95.7520182132721
prob1;Linear Regression;Percentage-50;13808.7456844;84.69244456291199
prob2;Linear Regression;Percentage-50;8411.2668499;82.40838265419006
prob1;Linear Regression;Percentage-70;11933.2692403;90.75722432136536
prob2;Linear Regression;Percentage-70;11272.0366681;81.71959710121155
num_aligns;KNR 3;PCA-30;0.0625978090767;174.12246370315552
length;KNR 3;PCA-30;10590.7942943;162.65833401679993
prob1;KNR 3;PCA-30;4.16475104784e-15;161.87466311454773
num_aligns;KNR 3;PCA-50;0.0725925925926;184.71851754188538
length;KNR 3;PCA-50;7472.36527778;193.00602746009827
prob1;KNR 3;PCA-50;3.21821671878e-15;189.54633355140686
num_aligns;KNR 3;PCA-70;0.103448275862;181.9223747253418
length;KNR 3;PCA-70;12797.726776;190.16500854492188
prob1;KNR 3;PCA-70;1298.60681866;198.78251266479492
prob1;KNR 3;Percentage-30;21767.5796001;88.47952485084534
prob2;KNR 3;Percentage-30;36907.4402912;80.9026620388031
prob1;KNR 3;Percentage-50;7422.14562166;89.3448338508606
prob2;KNR 3;Percentage-50;16973.3089095;86.5162935256958
prob1;KNR 3;Percentage-70;22463.5350289;96.85418272018433
prob2;KNR 3;Percentage-70;20536.7472472;100.79463958740234
num_aligns;KNR 5;PCA-30;0.0192307692308;164.52604699134827
length;KNR 5;PCA-30;6338.52903226;177.41741514205933
prob1;KNR 5;PCA-30;1435.30227325;159.05301785469055
num_aligns;KNR 5;PCA-50;0.0131578947368;161.41079354286194
length;KNR 5;PCA-50;5832.6462069;191.15808820724487
prob1;KNR 5;PCA-50;3.63080860581e-15;172.85497045516968
num_aligns;KNR 5;PCA-70;0.0169491525424;177.98681116104126
length;KNR 5;PCA-70;3355.48714286;174.0463366508484
prob1;KNR 5;PCA-70;2.79476715052e-15;179.66058087348938
prob1;KNR 5;Percentage-30;1989.0370182;78.51630544662476
prob2;KNR 5;Percentage-30;13312.9159026;90.57416343688965
prob1;KNR 5;Percentage-50;16080.4793097;84.65698742866516
prob2;KNR 5;Percentage-50;1813.38112312;84.04864001274109
prob1;KNR 5;Percentage-70;24451.5940496;86.42004060745239
prob2;KNR 5;Percentage-70;48903.8289409;79.40596222877502
num_aligns;KNR 7;PCA-30;0.0;158.90537095069885
length;KNR 7;PCA-30;3210.46804951;158.215961933136
