FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;PRECISION;RECALL;TIME
model1;KNN 3;PCA-30;0.84;0.82;0.84;281.76923155784607
model2;KNN 3;PCA-30;0.75;0.738636363636;0.75;351.52222084999084
model1;KNN 3;PCA-50;0.95;0.904545454545;0.95;312.0004177093506
model2;KNN 3;PCA-50;0.807692307692;0.854853479853;0.807692307692;514.6973195075989
model1;KNN 3;PCA-70;0.941176470588;0.901960784314;0.941176470588;397.28220200538635
model2;KNN 3;PCA-70;0.809523809524;0.681318681319;0.809523809524;450.14931321144104
model1;KNN 3;ANOVA-30;0.978947368421;0.978947368421;0.978947368421;118.65563011169434
model2;KNN 3;ANOVA-30;0.978723404255;0.97057198121;0.978723404255;128.6300036907196
model1;KNN 3;ANOVA-50;0.989583333333;0.979525862069;0.989583333333;120.99120569229126
model2;KNN 3;ANOVA-50;0.979591836735;0.990816326531;0.979591836735;136.30569124221802
model1;KNN 3;ANOVA-70;1.0;1.0;1.0;119.80499792098999
model2;KNN 3;ANOVA-70;0.989130434783;0.979249011858;0.989130434783;124.88799214363098
model1;KNN 5;PCA-30;0.782608695652;0.785714285714;0.782608695652;364.3803930282593
model2;KNN 5;PCA-30;0.785714285714;0.794642857143;0.785714285714;443.1588695049286
model1;KNN 5;PCA-50;0.764705882353;0.794117647059;0.764705882353;245.80439376831055
model2;KNN 5;PCA-50;0.888888888889;0.902777777778;0.888888888889;325.1166310310364
model1;KNN 5;PCA-70;0.842105263158;0.768421052632;0.842105263158;329.44905495643616
model2;KNN 5;PCA-70;0.9;0.89;0.9;306.4558300971985
model1;KNN 5;ANOVA-30;0.9625;0.953125;0.9625;148.16815066337585
model2;KNN 5;ANOVA-30;0.977272727273;1.0;0.977272727273;127.88290905952454
model1;KNN 5;ANOVA-50;0.987951807229;0.97661233168;0.987951807229;144.38338804244995
model2;KNN 5;ANOVA-50;0.988636363636;0.979166666667;0.988636363636;123.61290287971497
model1;KNN 5;ANOVA-70;0.987951807229;1.0;0.987951807229;140.84746718406677
model2;KNN 5;ANOVA-70;0.975903614458;0.971084337349;0.975903614458;121.9721348285675
model1;KNN 7;PCA-30;0.928571428571;0.928571428571;0.928571428571;260.950501203537
model2;KNN 7;PCA-30;0.888888888889;0.962962962963;0.888888888889;244.98966932296753
model1;KNN 7;PCA-50;0.857142857143;0.750793650794;0.857142857143;439.29492354393005
model2;KNN 7;PCA-50;0.894736842105;0.921052631579;0.894736842105;272.20029306411743
model1;KNN 7;PCA-70;1.0;1.0;1.0;327.02936363220215
model2;KNN 7;PCA-70;0.842105263158;0.797570850202;0.842105263158;409.0642077922821
model1;KNN 7;ANOVA-30;0.975;0.9525;0.975;125.30202126502991
model2;KNN 7;ANOVA-30;0.978260869565;1.0;0.978260869565;131.9797022342682
model1;KNN 7;ANOVA-50;0.968421052632;0.96;0.968421052632;133.12076902389526
model2;KNN 7;ANOVA-50;0.975903614458;0.976907630522;0.975903614458;136.97795939445496
model1;KNN 7;ANOVA-70;0.963414634146;0.953095684803;0.963414634146;118.63022971153259
model2;KNN 7;ANOVA-70;0.9625;0.96875;0.9625;129.61236548423767
model1;SVM;PCA-30;0.923076923077;0.923076923077;0.923076923077;223.99570107460022
model2;SVM;PCA-30;0.857142857143;0.865079365079;0.857142857143;277.8419597148895
model1;SVM;PCA-50;0.863636363636;0.79958677686;0.863636363636;351.90032267570496
model2;SVM;PCA-50;0.809523809524;0.904761904762;0.809523809524;264.7081654071808
model1;SVM;PCA-70;0.807692307692;0.862470862471;0.807692307692;378.60184812545776
model2;SVM;PCA-70;0.611111111111;0.577777777778;0.611111111111;278.31951355934143
model1;SVM;ANOVA-30;0.989898989899;0.980218855219;0.989898989899;137.47895741462708
model2;SVM;ANOVA-30;0.978723404255;0.990328820116;0.978723404255;129.6637864112854
model1;SVM;ANOVA-50;0.987804878049;0.976219512195;0.987804878049;139.35732054710388
model2;SVM;ANOVA-50;0.988764044944;1.0;0.988764044944;136.8449215888977
model1;SVM;ANOVA-70;0.967741935484;0.957757296467;0.967741935484;145.0427222251892
model2;SVM;ANOVA-70;0.989690721649;0.990979381443;0.989690721649;137.45067191123962
model1;Multi Layer Perceptron;PCA-30;0.695652173913;0.695652173913;0.695652173913;317.23282408714294
model2;Multi Layer Perceptron;PCA-30;0.6875;0.6875;0.6875;155.2919933795929
model1;Multi Layer Perceptron;PCA-50;0.857142857143;0.825091575092;0.857142857143;331.1792161464691
model2;Multi Layer Perceptron;PCA-50;0.772727272727;0.757575757576;0.772727272727;146.65873050689697
model1;Multi Layer Perceptron;PCA-70;0.772727272727;0.722377622378;0.772727272727;342.0388686656952
model2;Multi Layer Perceptron;PCA-70;0.863636363636;0.927272727273;0.863636363636;236.59254479408264
model1;Multi Layer Perceptron;ANOVA-30;0.886075949367;0.96914556962;0.886075949367;120.37413763999939
model2;Multi Layer Perceptron;ANOVA-30;0.954545454545;0.967954545455;0.954545454545;106.93967795372009
model1;Multi Layer Perceptron;ANOVA-50;0.886597938144;0.951166576234;0.886597938144;121.41557312011719
model2;Multi Layer Perceptron;ANOVA-50;0.843373493976;0.87859128823;0.843373493976;107.44389247894287
model1;Multi Layer Perceptron;ANOVA-70;0.893617021277;0.974468085106;0.893617021277;135.71414256095886
model2;Multi Layer Perceptron;ANOVA-70;0.917525773196;0.924755412841;0.917525773196;109.13663792610168
