FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA-30;1.0;103.52484822273254
model1;KNN 3;PCA-50;1.0;130.05180382728577
model1;KNN 3;PCA-70;1.0;129.34812307357788
model1;KNN 3;Percentage-30;1.0;67.67981457710266
model2;KNN 3;Percentage-30;1.0;65.1349778175354
model1;KNN 3;Percentage-50;0.943396226415;72.32344460487366
model2;KNN 3;Percentage-50;1.0;62.9595513343811
model1;KNN 3;Percentage-70;1.0;74.24578642845154
model2;KNN 3;Percentage-70;0.972222222222;63.09355807304382
model1;KNN 5;PCA-30;1.0;109.69494080543518
model1;KNN 5;PCA-50;1.0;112.52204203605652
model1;KNN 5;PCA-70;1.0;146.7125837802887
model1;KNN 5;Percentage-30;1.0;76.43233680725098
model2;KNN 5;Percentage-30;0.976744186047;73.20818591117859
model1;KNN 5;Percentage-50;0.975609756098;72.97515392303467
model2;KNN 5;Percentage-50;0.975609756098;68.17920207977295
model1;KNN 5;Percentage-70;0.967741935484;62.86730408668518
model2;KNN 5;Percentage-70;0.977272727273;56.144927978515625
model1;KNN 7;PCA-30;1.0;102.08222007751465
model1;KNN 7;PCA-50;1.0;116.61916184425354
model1;KNN 7;PCA-70;1.0;122.77572584152222
model1;KNN 7;Percentage-30;0.95;61.2996039390564
model2;KNN 7;Percentage-30;0.977272727273;62.28115749359131
model1;KNN 7;Percentage-50;1.0;64.19650936126709
model2;KNN 7;Percentage-50;0.95652173913;67.5881187915802
model1;KNN 7;Percentage-70;0.970588235294;66.76552534103394
model2;KNN 7;Percentage-70;0.979166666667;71.55144906044006
model1;SVM;PCA-30;1.0;104.04552602767944
model1;SVM;PCA-50;1.0;125.16887140274048
model1;SVM;PCA-70;1.0;134.72811722755432
model1;SVM;Percentage-30;0.979166666667;70.16083240509033
model2;SVM;Percentage-30;0.96;72.45361828804016
model1;SVM;Percentage-50;0.97619047619;77.24714732170105
model2;SVM;Percentage-50;0.975;61.63688611984253
model1;SVM;Percentage-70;0.944444444444;75.86087131500244
model2;SVM;Percentage-70;0.96;67.99790954589844
model1;Multi Layer Perceptron;PCA-30;1.0;104.57215905189514
model1;Multi Layer Perceptron;PCA-50;1.0;115.7204167842865
model1;Multi Layer Perceptron;PCA-70;1.0;129.8276333808899
model1;Multi Layer Perceptron;Percentage-30;0.955555555556;66.96058058738708
model2;Multi Layer Perceptron;Percentage-30;0.9375;64.96669864654541
model1;Multi Layer Perceptron;Percentage-50;0.9;66.27136993408203
model2;Multi Layer Perceptron;Percentage-50;0.934782608696;61.107922077178955
model1;Multi Layer Perceptron;Percentage-70;0.869565217391;71.1263108253479
model2;Multi Layer Perceptron;Percentage-70;0.978723404255;36.08839273452759
