FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Multi Layer Perceptron;PCA-30;0.0;385.1294786930084
length;Multi Layer Perceptron;PCA-30;4.9482576311e+15;401.38992190361023
prob1;Multi Layer Perceptron;PCA-30;1.9046939907e+17;373.90862250328064
prob2;Multi Layer Perceptron;PCA-30;1.15658453414e+17;305.01168966293335
num_aligns;Multi Layer Perceptron;PCA-50;0.0;199.28246903419495
length;Multi Layer Perceptron;PCA-50;3.16293020741e+15;482.7916214466095
prob1;Multi Layer Perceptron;PCA-50;4.38632805134e+17;379.89922547340393
prob2;Multi Layer Perceptron;PCA-50;4.34489104269e+16;289.2693419456482
num_aligns;Multi Layer Perceptron;PCA-70;0.0588235294118;126.359215259552
length;Multi Layer Perceptron;PCA-70;5.17501758465e+14;53.54595613479614
prob1;Multi Layer Perceptron;PCA-70;3.73382786324e+17;403.65936398506165
prob2;Multi Layer Perceptron;PCA-70;9.93598796498e+17;360.84784722328186
prob1;Multi Layer Perceptron;ANOVA-30;2712540258.77;89.20254135131836
prob2;Multi Layer Perceptron;ANOVA-30;2298960598.91;200.46578001976013
prob1;Multi Layer Perceptron;ANOVA-50;2559838147.25;144.0410189628601
prob2;Multi Layer Perceptron;ANOVA-50;2931679122.89;130.67706322669983
prob1;Multi Layer Perceptron;ANOVA-70;2415065181.28;168.99190616607666
prob2;Multi Layer Perceptron;ANOVA-70;2282543856.11;147.59015941619873
