FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA-30;0.0;268.74760913848877
length;Linear Regression;PCA-30;21916.056777;360.9255428314209
prob1;Linear Regression;PCA-30;1000468.56493;409.780779838562
prob2;Linear Regression;PCA-30;629480.584694;366.19257974624634
num_aligns;Linear Regression;PCA-50;0.0416666666667;426.60266733169556
length;Linear Regression;PCA-50;30575.8490048;287.6966280937195
prob1;Linear Regression;PCA-50;479603.008113;432.90246748924255
prob2;Linear Regression;PCA-50;372446.794966;423.1414792537689
num_aligns;Linear Regression;PCA-70;0.0;429.2806134223938
length;Linear Regression;PCA-70;11181.4787006;451.36608815193176
prob1;Linear Regression;PCA-70;350126.327219;339.10281920433044
prob2;Linear Regression;PCA-70;512034.024643;430.0304744243622
prob1;Linear Regression;ANOVA-30;9651.28229862;186.731782913208
prob2;Linear Regression;ANOVA-30;9872.25370508;111.90206003189087
prob1;Linear Regression;ANOVA-50;16184.6351994;188.8873872756958
prob2;Linear Regression;ANOVA-50;14061.4415867;209.95100855827332
prob1;Linear Regression;ANOVA-70;10034.1683473;206.52531099319458
prob2;Linear Regression;ANOVA-70;19670.992281;180.3597047328949
num_aligns;KNR 3;PCA-30;0.0555555555556;397.2914435863495
length;KNR 3;PCA-30;14165.0250896;285.5274794101715
prob1;KNR 3;PCA-30;255944.10654;429.26415610313416
prob2;KNR 3;PCA-30;194435.06115;429.41237330436707
num_aligns;KNR 3;PCA-50;0.0;383.3903455734253
length;KNR 3;PCA-50;13793.9537037;465.1509644985199
prob1;KNR 3;PCA-50;389420.090494;373.7170400619507
prob2;KNR 3;PCA-50;449046.234747;451.24931263923645
num_aligns;KNR 3;PCA-70;0.0357142857143;389.20293617248535
length;KNR 3;PCA-70;19966.7703704;441.2531681060791
prob1;KNR 3;PCA-70;225972.826647;470.5586860179901
prob2;KNR 3;PCA-70;311826.586483;335.5713326931
prob1;KNR 3;ANOVA-30;12621.4059985;196.25802183151245
prob2;KNR 3;ANOVA-30;23816.6034778;196.5601303577423
prob1;KNR 3;ANOVA-50;27722.0445922;181.9733259677887
prob2;KNR 3;ANOVA-50;31290.1434617;190.4844126701355
prob1;KNR 3;ANOVA-70;12585.5870525;175.9950270652771
prob2;KNR 3;ANOVA-70;29879.2315137;191.25590252876282
num_aligns;KNR 5;PCA-30;0.0;406.08304476737976
length;KNR 5;PCA-30;29481.7925;423.83016538619995
prob1;KNR 5;PCA-30;303180.238468;358.6053969860077
prob2;KNR 5;PCA-30;192208.648742;398.78577065467834
num_aligns;KNR 5;PCA-50;0.0266666666667;441.1597697734833
length;KNR 5;PCA-50;12347.4292308;407.4841322898865
prob1;KNR 5;PCA-50;332126.274464;434.89029598236084
prob2;KNR 5;PCA-50;420559.591226;438.38769912719727
num_aligns;KNR 5;PCA-70;0.0;465.505624294281
length;KNR 5;PCA-70;9249.97166667;399.35862469673157
prob1;KNR 5;PCA-70;704641.547455;426.8896255493164
prob2;KNR 5;PCA-70;472202.134188;463.8561477661133
prob1;KNR 5;ANOVA-30;7326.0190079;205.4465000629425
prob2;KNR 5;ANOVA-30;7490.85776317;185.18760633468628
prob1;KNR 5;ANOVA-50;25967.5315108;203.537611246109
prob2;KNR 5;ANOVA-50;6270.84957297;191.81151509284973
prob1;KNR 5;ANOVA-70;24140.5237061;213.94595623016357
prob2;KNR 5;ANOVA-70;19034.7360178;185.52116990089417
num_aligns;KNR 7;PCA-30;0.0;355.7825839519501
length;KNR 7;PCA-30;36311.9642857;391.52750515937805
prob1;KNR 7;PCA-30;428090.914058;433.97507071495056
prob2;KNR 7;PCA-30;212294.322668;384.72875928878784
num_aligns;KNR 7;PCA-50;0.0;398.1696033477783
length;KNR 7;PCA-50;18237.8081633;429.4346351623535
prob1;KNR 7;PCA-50;620149.596158;505.5422012805939
prob2;KNR 7;PCA-50;276088.044882;455.0727503299713
num_aligns;KNR 7;PCA-70;0.0;404.26804780960083
length;KNR 7;PCA-70;13646.3061224;409.5879981517792
prob1;KNR 7;PCA-70;295027.358311;460.5004186630249
prob2;KNR 7;PCA-70;427214.625374;450.73721718788147
prob1;KNR 7;ANOVA-30;13507.6456291;185.88867044448853
prob2;KNR 7;ANOVA-30;14976.5561649;181.80826616287231
prob1;KNR 7;ANOVA-50;17947.7972049;180.1563069820404
prob2;KNR 7;ANOVA-50;22332.1400711;188.37890315055847
prob1;KNR 7;ANOVA-70;23673.4514498;201.00366878509521
prob2;KNR 7;ANOVA-70;2207.09037606;171.28599095344543
num_aligns;SVR;PCA-30;0.0526315789474;376.93939113616943
length;SVR;PCA-30;18437.3993328;425.72960472106934
prob1;SVR;PCA-30;263067.528561;393.33600068092346
prob2;SVR;PCA-30;199365.296626;381.806529045105
num_aligns;SVR;PCA-50;0.0;434.5669777393341
length;SVR;PCA-50;9578.15938438;435.78061389923096
prob1;SVR;PCA-50;167089.415292;436.8783187866211
prob2;SVR;PCA-50;160467.249205;416.33919978141785
num_aligns;SVR;PCA-70;0.0493036930245;299.6433959007263
length;SVR;PCA-70;3723.75851632;458.06906056404114
prob1;SVR;PCA-70;272013.383738;453.78004932403564
prob2;SVR;PCA-70;180174.767864;457.86455368995667
prob1;SVR;ANOVA-30;7332.02586333;209.92423510551453
prob2;SVR;ANOVA-30;13852.7434556;204.60933303833008
prob1;SVR;ANOVA-50;4788.17271771;194.29628896713257
prob2;SVR;ANOVA-50;4429.34476175;214.76461005210876
prob1;SVR;ANOVA-70;13034.1905501;210.0137460231781
prob2;SVR;ANOVA-70;11751.8895402;194.4675486087799
