FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;PRECISION;RECALL;TIME
cra;KNN 3;PCA-30;1.0;1.0;1.0;13004.141887903214
cdec;KNN 3;PCA-30;1.0;1.0;1.0;12481.12355518341
cra;KNN 3;PCA-50;1.0;1.0;1.0;15158.488270044327
cdec;KNN 3;PCA-50;1.0;1.0;1.0;13455.07752251625
cra;KNN 3;PCA-70;1.0;1.0;1.0;13786.859720945358
cdec;KNN 3;PCA-70;1.0;1.0;1.0;15322.026669502258
cra;KNN 3;ANOVA-30;1.0;1.0;1.0;4506.81724023819
cdec;KNN 3;ANOVA-30;1.0;1.0;1.0;4368.420902490616
cra;KNN 3;ANOVA-50;1.0;1.0;1.0;4225.461903810501
cdec;KNN 3;ANOVA-50;1.0;1.0;1.0;4418.719597101212
cra;KNN 3;ANOVA-70;1.0;1.0;1.0;4464.633898019791
cdec;KNN 3;ANOVA-70;1.0;1.0;1.0;4725.875735282898
cra;KNN 5;PCA-30;1.0;1.0;1.0;11032.958966255188
cdec;KNN 5;PCA-30;0.995762711864;0.995762711864;0.995762711864;10880.052755117416
cra;KNN 5;PCA-50;1.0;1.0;1.0;12438.450114488602
cdec;KNN 5;PCA-50;0.995327102804;0.995327102804;0.995327102804;12488.938225030899
cra;KNN 5;PCA-70;1.0;1.0;1.0;14373.182456731796
cdec;KNN 5;PCA-70;1.0;1.0;1.0;12377.975422859192
cra;KNN 5;ANOVA-30;1.0;1.0;1.0;3230.2638335227966
cdec;KNN 5;ANOVA-30;1.0;1.0;1.0;3207.1890847682953
cra;KNN 5;ANOVA-50;1.0;1.0;1.0;3211.5724239349365
cdec;KNN 5;ANOVA-50;1.0;1.0;1.0;3263.7877361774445
cra;KNN 5;ANOVA-70;1.0;1.0;1.0;3719.9256653785706
cdec;KNN 5;ANOVA-70;1.0;1.0;1.0;3356.1330003738403
cra;KNN 7;PCA-30;1.0;1.0;1.0;13271.109789609909
cdec;KNN 7;PCA-30;1.0;1.0;1.0;10967.117199897766
cra;KNN 7;PCA-50;1.0;1.0;1.0;13812.96107506752
cdec;KNN 7;PCA-50;0.995967741935;0.995967741935;0.995967741935;10397.81625676155
cra;KNN 7;PCA-70;1.0;1.0;1.0;13729.627599477768
cdec;KNN 7;PCA-70;0.995327102804;0.995327102804;0.995327102804;11764.857958555222
cra;KNN 7;ANOVA-30;1.0;1.0;1.0;3205.6650161743164
cdec;KNN 7;ANOVA-30;1.0;1.0;1.0;3038.513219833374
cra;KNN 7;ANOVA-50;1.0;1.0;1.0;3345.4805357456207
cdec;KNN 7;ANOVA-50;1.0;1.0;1.0;3196.1276371479034
cra;KNN 7;ANOVA-70;1.0;1.0;1.0;3005.8746008872986
cdec;KNN 7;ANOVA-70;1.0;1.0;1.0;3493.5101642608643
cra;SVM;PCA-30;1.0;1.0;1.0;12650.587022542953
cdec;SVM;PCA-30;1.0;1.0;1.0;11597.910434007645
cra;SVM;PCA-50;1.0;1.0;1.0;14468.62893819809
cdec;SVM;PCA-50;0.999078341014;0.999385560676;0.999078341014;11885.930081605911
cra;SVM;PCA-70;1.0;1.0;1.0;15084.90438246727
cdec;SVM;PCA-70;1.0;1.0;1.0;12066.613575458527
cra;SVM;ANOVA-30;1.0;1.0;1.0;4880.27397274971
cdec;SVM;ANOVA-30;1.0;1.0;1.0;4094.7672548294067
cra;SVM;ANOVA-50;1.0;1.0;1.0;4548.517713069916
cdec;SVM;ANOVA-50;1.0;1.0;1.0;4086.783997297287
cra;SVM;ANOVA-70;1.0;1.0;1.0;4156.83974981308
cdec;SVM;ANOVA-70;1.0;1.0;1.0;4799.885624408722
cra;Multi Layer Perceptron;PCA-30;1.0;1.0;1.0;12120.681832313538
cdec;Multi Layer Perceptron;PCA-30;0.999072356215;0.999226963513;0.999072356215;6003.716771841049
cra;Multi Layer Perceptron;PCA-50;1.0;1.0;1.0;14235.939927816391
cdec;Multi Layer Perceptron;PCA-50;1.0;1.0;1.0;4669.25364112854
cra;Multi Layer Perceptron;PCA-70;1.0;1.0;1.0;13239.82885837555
cdec;Multi Layer Perceptron;PCA-70;1.0;1.0;1.0;3863.544487476349
cra;Multi Layer Perceptron;ANOVA-30;1.0;1.0;1.0;4643.307589292526
cdec;Multi Layer Perceptron;ANOVA-30;1.0;1.0;1.0;4373.073621273041
cra;Multi Layer Perceptron;ANOVA-50;1.0;1.0;1.0;4583.586214065552
cdec;Multi Layer Perceptron;ANOVA-50;1.0;1.0;1.0;4186.464509487152
cra;Multi Layer Perceptron;ANOVA-70;1.0;1.0;1.0;4267.178334474564
cdec;Multi Layer Perceptron;ANOVA-70;1.0;1.0;1.0;2673.016453266144
