cntr,ra,dec,cra,cdec,naxis1,naxis2,ctype1,ctype2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,crota2,equinox,size,hdu
28,245.4740765,-26.15092,16h_21m_53.78s,-26d_09m_03.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.4739218,-26.1507811,-2.7777778450e-04,2.7777778450e-04,0.0031995,2000,2111040,0
29,245.4740937,-26.4203644,16h_21m_53.78s,-26d_25m_13.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.4739386,-26.4202256,-2.7777778450e-04,2.7777778450e-04,0.003207,2000,2111040,0
30,245.474111,-26.6898089,16h_21m_53.79s,-26d_41m_23.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.4739555,-26.68967,-2.7777778450e-04,2.7777778450e-04,0.0032145,2000,2111040,0
31,245.4741282,-26.9592533,16h_21m_53.79s,-26d_57m_33.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.4739724,-26.9591144,-2.7777778450e-04,2.7777778450e-04,0.0032222,2000,2111040,0
32,245.6059243,-27.1610731,16h_22m_25.42s,-27d_09m_39.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.6057681,-27.1609343,-2.7777778450e-04,2.7777778450e-04,0.0187945,2000,2111040,0
33,245.6058248,-26.8916287,16h_22m_25.40s,-26d_53m_29.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.605669,-26.8914898,-2.7777778450e-04,2.7777778450e-04,0.0187495,2000,2111040,0
34,245.6057257,-26.6221843,16h_22m_25.37s,-26d_37m_19.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.6055703,-26.6220454,-2.7777778450e-04,2.7777778450e-04,0.0187051,2000,2111040,0
35,245.6056272,-26.3527398,16h_22m_25.35s,-26d_21m_09.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.6054722,-26.352601,-2.7777778450e-04,2.7777778450e-04,0.0186613,2000,2111040,0
36,245.6055292,-26.0832954,16h_22m_25.33s,-26d_04m_59.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.6053745,-26.0831566,-2.7777778450e-04,2.7777778450e-04,0.0186181,2000,2111040,0
37,245.7383599,-26.1511549,16h_22m_57.21s,-26d_09m_04.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.7382051,-26.1510161,-2.7777778450e-04,2.7777778450e-04,0.0101322,2000,2111040,0
38,245.7384134,-26.4205994,16h_22m_57.22s,-26d_25m_14.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.7382583,-26.4204605,-2.7777778450e-04,2.7777778450e-04,0.0101557,2000,2111040,0
39,245.7384673,-26.6900438,16h_22m_57.23s,-26d_41m_24.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.7383118,-26.689905,-2.7777778450e-04,2.7777778450e-04,0.0101796,2000,2111040,0
40,245.7385214,-26.9594883,16h_22m_57.25s,-26d_57m_34.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.7383655,-26.9593494,-2.7777778450e-04,2.7777778450e-04,0.0102039,2000,2111040,0
41,245.8709903,-27.1610401,16h_23m_29.04s,-27d_09m_39.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.8708342,-27.1609012,-2.7777778450e-04,2.7777778450e-04,0.0136761,2000,2111040,0
42,245.8709179,-26.8915956,16h_23m_29.02s,-26d_53m_29.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.8707621,-26.8914568,-2.7777778450e-04,2.7777778450e-04,0.0136433,2000,2111040,0
43,245.8708457,-26.6221512,16h_23m_29.00s,-26d_37m_19.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.8706903,-26.6220123,-2.7777778450e-04,2.7777778450e-04,0.013611,2000,2111040,0
0,205.7661221,28.249174,13h_43m_03.87s,+28d_14m_57.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.7659644,28.2493129,-2.7777778450e-04,2.7777778450e-04,0.004853,2000,2111040,0
1,205.7661475,27.9797296,13h_43m_03.88s,+27d_58m_47.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.7659902,27.9798685,-2.7777778450e-04,2.7777778450e-04,0.0048408,2000,2111040,0
2,205.3719783,28.7838919,13h_41m_29.27s,+28d_47m_02.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.3718199,28.7840308,-2.7777778450e-04,2.7777778450e-04,359.9904192,2000,2111040,0
3,205.3719267,28.5144474,13h_41m_29.26s,+28d_30m_52.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.3717687,28.5145863,-2.7777778450e-04,2.7777778450e-04,359.9904438,2000,2111040,0
4,205.3718753,28.245003,13h_41m_29.25s,+28d_14m_42.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.3717177,28.2451419,-2.7777778450e-04,2.7777778450e-04,359.990468,2000,2111040,0
5,205.3718241,27.9755586,13h_41m_29.24s,+27d_58m_32.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.3716669,27.9756975,-2.7777778450e-04,2.7777778450e-04,359.990492,2000,2111040,0
6,204.9722016,27.765856,13h_39m_53.33s,+27d_45m_57.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,204.9720446,27.7659949,-2.7777778450e-04,2.7777778450e-04,0.0137966,2000,2111040,0
7,204.9721284,28.0353005,13h_39m_53.31s,+28d_02m_07.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,204.971971,28.0354393,-2.7777778450e-04,2.7777778450e-04,0.013831,2000,2111040,0
8,204.972055,28.3047449,13h_39m_53.29s,+28d_18m_17.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,204.9718972,28.3048838,-2.7777778450e-04,2.7777778450e-04,0.0138658,2000,2111040,0
9,204.9719811,28.5741893,13h_39m_53.28s,+28d_34m_27.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,204.9718229,28.5743282,-2.7777778450e-04,2.7777778450e-04,0.0139012,2000,2111040,0
10,204.9719069,28.8436338,13h_39m_53.26s,+28d_50m_37.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,204.9717483,28.8437726,-2.7777778450e-04,2.7777778450e-04,0.0139371,2000,2111040,0
11,205.6348115,28.7901159,13h_42m_32.35s,+28d_47m_24.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.634653,28.7902548,-2.7777778450e-04,2.7777778450e-04,0.0061229,2000,2111040,0
12,205.6348439,28.5206715,13h_42m_32.36s,+28d_31m_14.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.6346858,28.5208103,-2.7777778450e-04,2.7777778450e-04,0.0061071,2000,2111040,0
13,205.6348761,28.251227,13h_42m_32.37s,+28d_15m_04.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.6347184,28.2513659,-2.7777778450e-04,2.7777778450e-04,0.0060916,2000,2111040,0
14,205.6349081,27.9817826,13h_42m_32.38s,+27d_58m_54.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.6347508,27.9819215,-2.7777778450e-04,2.7777778450e-04,0.0060764,2000,2111040,0
15,205.9000244,28.7902299,13h_43m_36.01s,+28d_47m_24.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.8998659,28.7903688,-2.7777778450e-04,2.7777778450e-04,359.995915,2000,2111040,0
16,205.9000022,28.5207854,13h_43m_36.00s,+28d_31m_14.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.8998441,28.5209243,-2.7777778450e-04,2.7777778450e-04,359.9959255,2000,2111040,0
17,205.89998,28.251341,13h_43m_36.00s,+28d_15m_04.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.8998223,28.2514799,-2.7777778450e-04,2.7777778450e-04,359.9959359,2000,2111040,0
18,205.899958,27.9818966,13h_43m_35.99s,+27d_58m_54.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.8998007,27.9820355,-2.7777778450e-04,2.7777778450e-04,359.9959461,2000,2111040,0
19,206.0315627,27.7679301,13h_44m_07.58s,+27d_46m_04.5s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.0314057,27.7680689,-2.7777778450e-04,2.7777778450e-04,0.012018,2000,2111040,0
20,206.031499,28.0373745,13h_44m_07.56s,+28d_02m_14.5s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.0313416,28.0375134,-2.7777778450e-04,2.7777778450e-04,0.0120479,2000,2111040,0
21,206.0314351,28.3068189,13h_44m_07.54s,+28d_18m_24.5s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.0312773,28.3069578,-2.7777778450e-04,2.7777778450e-04,0.0120783,2000,2111040,0
22,206.0313708,28.5762634,13h_44m_07.53s,+28d_34m_34.5s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.0312126,28.5764022,-2.7777778450e-04,2.7777778450e-04,0.0121091,2000,2111040,0
23,206.0313062,28.8457078,13h_44m_07.51s,+28d_50m_44.5s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.0311476,28.8458467,-2.7777778450e-04,2.7777778450e-04,0.0121404,2000,2111040,0
24,206.1653436,28.7907449,13h_44m_39.68s,+28d_47m_26.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.165185,28.7908837,-2.7777778450e-04,2.7777778450e-04,0.0298408,2000,2111040,0
25,206.1655029,28.5213005,13h_44m_39.72s,+28d_31m_16.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.1653447,28.5214393,-2.7777778450e-04,2.7777778450e-04,0.0297642,2000,2111040,0
26,206.1656614,28.2518561,13h_44m_39.76s,+28d_15m_06.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.1655036,28.2519949,-2.7777778450e-04,2.7777778450e-04,0.0296887,2000,2111040,0
27,206.1658191,27.9824117,13h_44m_39.80s,+27d_58m_56.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,206.1656617,27.9825505,-2.7777778450e-04,2.7777778450e-04,0.0296142,2000,2111040,0
28,205.4987817,27.7663639,13h_41m_59.71s,+27d_45m_58.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.4986247,27.7665028,-2.7777778450e-04,2.7777778450e-04,8.36e-05,2000,2111040,0
29,205.4987817,28.0358083,13h_41m_59.71s,+28d_02m_08.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.4986243,28.0359472,-2.7777778450e-04,2.7777778450e-04,8.38e-05,2000,2111040,0
30,205.4987816,28.3052528,13h_41m_59.71s,+28d_18m_18.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.4986238,28.3053917,-2.7777778450e-04,2.7777778450e-04,8.4e-05,2000,2111040,0
31,205.4987816,28.5746972,13h_41m_59.71s,+28d_34m_28.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.4986234,28.5748361,-2.7777778450e-04,2.7777778450e-04,8.43e-05,2000,2111040,0
32,205.4987815,28.8441417,13h_41m_59.71s,+28d_50m_38.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.4986229,28.8442806,-2.7777778450e-04,2.7777778450e-04,8.45e-05,2000,2111040,0
33,205.1016657,28.786273,13h_40m_24.40s,+28d_47m_10.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.1015072,28.7864118,-2.7777778450e-04,2.7777778450e-04,0.0185744,2000,2111040,0
34,205.1017647,28.5168286,13h_40m_24.42s,+28d_31m_00.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.1016066,28.5169674,-2.7777778450e-04,2.7777778450e-04,0.0185267,2000,2111040,0
35,205.1018632,28.2473841,13h_40m_24.45s,+28d_14m_50.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.1017055,28.247523,-2.7777778450e-04,2.7777778450e-04,0.0184797,2000,2111040,0
